OccID	OccNo	OccDate	OccTime	AirportID_CountryID_DisplayEng	AirportID_CountryID	Airport_ProvinceID	AirportID_ProvinceID_DisplayEng	AirportID_AirportName	AirportID	Location	ICAOCategoryID	ICAO_DisplayEng	OccIncidentTypeID	OccIncidentTypeID_DisplayEng
159311	A24O0182	2024-12-31	19:25:00	CANADA	2	336	ONTARIO	HAMILTON	719	HAMILTON	36	UNKNOWN OR UNDETERMINED (UNK)	11	EMERGENCY/PRIORITY (xi)
159310	A25Q0001	2025-01-05	16:38:00	CANADA	2	4	QUEBEC	St-Hyacinthe	1695	St-Hyacinthe	20	LOSS OF CONTROL–INFLIGHT (LOC–I)	19	UNKNOWN
159307	A25A0001	2025-01-03	13:25:00	CANADA	2	6	NEWFOUNDLAND AND LABRADOR	ST. JOHN'S INTL	1718	ST. JOHN'S	34	WIND SHEAR OR THUNDERSTORM (WSTRW)	19	UNKNOWN
159297	A24P0158	2024-12-27	19:46:00	CANADA	2	12	BRITISH COLUMBIA	Vancouver Intl	1912	Vancouver	18	ICING (ICE)	11	EMERGENCY/PRIORITY (xi)
159284	A24W0162	2024-12-24	11:19:00	CANADA	2	11	ALBERTA	Edmonton/Cooking Lake	362	Cooking Lake	2	ABRUPT MANEUVER (AMAN)	19	UNKNOWN
159214	A24P0139	2024-11-15	14:00:00	CANADA	2	12	BRITISH COLUMBIA	Vancouver Intl	1912	Vancouver	6	BIRD (BIRD)	11	EMERGENCY/PRIORITY (xi)
159213	A24W0149	2024-12-04	15:14:00	CANADA	2	11	ALBERTA	Edmonton Intl	471	Edmonton	5	ATM/CNS (ATM)	16	LOSS OF SEPARATION (x)
159169	A24O0166	2024-11-15	06:40:00	CANADA	2	336	ONTARIO	MacDonald-Cartier Intl	1289	Ottawa	7	CABIN SAFETY EVENTS (CABIN)	5	UNABLE TO PERFORM (vi)
159148	A24Q0151	2024-10-21	11:39:00	CANADA	2	4	QUEBEC	VAL-D'OR	1892	VAL-D'OR	24	NAVIGATION ERRORS (NAV)	16	LOSS OF SEPARATION (x)
159079	A24P0118	2024-10-28	11:47:00	CANADA	2	12	BRITISH COLUMBIA	PORT MCNEILL	1395	PORT MCNEILL	32	UNINTENDED FLIGHT IN IMC (UIMC)	19	UNKNOWN
159060	A24Q0141	2024-10-06	18:30:00	CANADA	2	4	QUEBEC	NEUVILLE	4071	QUEBEC	33	WILDLIFE (WILD)	19	UNKNOWN
158988	A24P0108	2024-09-24	17:59:00	CANADA	2	12	BRITISH COLUMBIA	DEASE LAKE	409	DEASE LAKE	22	LOW ALTITUDE OPERATIONS (LALT)	19	UNKNOWN
158967	A24P0105	2024-09-28	10:00:00	CANADA	2	12	BRITISH COLUMBIA	CHILLIWACK	313	CHILLIWACK	9	CONTROLLED FLIGHT INTO OR TOWARD TERRAIN (CFIT)	19	UNKNOWN
158678	A24P0074	2024-07-18	12:45:00	CANADA	2	12	BRITISH COLUMBIA	TOFINO/LONG BEACH	1847	TOFINO	13	FIRE/SMOKE (POST-IMPACT) (F–POST)	19	UNKNOWN
158354	A24C0040	2024-04-25	21:10:00	CANADA	2	9	MANITOBA	James Armstrong Richardson Intl	2001	Winnipeg	10	EVACUATION (EVAC)	2	SMOKE OR FIRE (iii)
158289	A24A0012	2024-04-01	16:00:00	CANADA	2	6	NEWFOUNDLAND AND LABRADOR	ST. JOHN'S INTL	1718	ST. JOHN'S	27	SECURITY RELATED (SEC)	11	EMERGENCY/PRIORITY (xi)
158256	A24Q0027	2024-03-30	20:15:00	CANADA	2	4	QUEBEC	KANGIQSUJUAQ (WAKEHAM BAY)	855	KANGIQSUJUAQ	31	UNDERSHOOT/OVERSHOOT (USOS)	19	UNKNOWN
157795	A23Q0145	2023-11-04	05:20:00	CANADA	2	4	QUEBEC	WEMINDJI	1967	WEMINDJI	3	AERODROME (ADRM)	19	UNKNOWN
155013	A21Q0070	2021-08-15	18:00:00	CANADA	2	336	ONTARIO	HAWKESBURY	740	HAWKESBURY	21	LOSS OF LIFTING CONDITIONS EN ROUTE (LOLI)	19	UNKNOWN
153032	A19W0099	2019-07-26	16:00:00	CANADA	2	11	ALBERTA	CU NIM	1825	BLACK DIAMOND	15	GLIDER TOWING RELATED EVENTS (GTOW)	19	UNKNOWN
